@relation data_415

@attribute col_1 numeric
@attribute col_2 numeric
@attribute col_3 numeric
@attribute binaryClass {P,N}

@data
9.7,139.8,9,P
11,139.5,8.1,N
8.7,140.2,8.7,N
9.9,140.3,7.5,N
11.8,139.7,10.4,N
10.6,139.9,9,P
9.3,140.2,7.9,N
9.8,139.9,7.2,N
10,139.4,8.2,N
10.4,140.3,9.2,P
8,139.2,7.9,N
10.6,140.1,7.7,N
9.7,140.6,7.9,P
11.4,139.9,7.7,N
10.6,139.7,7.7,N
8.2,139.2,9.3,N
11.8,139.8,8.2,N
12.1,139.9,9,N
11,140,7.4,P
10.1,139.2,8.6,N
10.1,139.6,8.4,P
12.3,139.6,8.1,N
11.6,140.2,8.4,P
10.5,139.7,8.7,N
9.9,140.1,7.4,P
10.2,139.6,8,N
9.4,140.2,8.9,N
10.2,140,9.8,N
10.1,140.3,7.4,N
9.8,139.9,8.3,N
10.7,139.8,7.9,N
12.3,139.2,8.6,N
10.6,139.9,7.7,P
10.5,139.7,8.4,P
11,139.5,8.9,P
11.9,139.5,9.4,N
10.7,139.4,8.4,N
9.3,138.3,7.9,N
11.3,139.8,8.5,N
11.8,139.6,8.1,P
10,139.3,8.9,N
10.2,139.2,8.8,P
11.2,139.9,9.3,N
10.6,139.9,9,P
11.4,139.3,8.2,P
11.9,139.8,8.3,N
11.4,139.9,8.3,P
9.3,138.1,7.3,N
10.7,139.4,7.9,P
9.9,139.4,7.8,N
11.9,139.8,7.2,P
11.9,139,9.5,P
10.4,139.3,7.8,P
12.1,139.4,7.6,N
11,139.5,7.9,P
11.6,139.7,9.2,N
10.3,139.5,9.2,P
11.3,139.2,8.8,P
12.5,139.3,7.9,P
8.1,137.9,8.2,P
7.4,138.4,8.3,N
9.9,138.1,7.5,P
11.5,139.5,8,P
11.6,139.1,8,P
11.4,139.8,8.6,P
10.3,139.7,8.8,P
10,138.8,7.7,P
9.6,138.6,9.1,P
9.6,139.6,8.6,N
11.4,139.7,8,P
8.7,137.8,8.4,P
12,139.6,8.2,P
11.8,139.4,8.7,P
10.4,139.2,7.5,N
11.4,139.6,7.2,N
11.9,139,7.6,N
11.6,139.7,8.8,P
9.9,139.6,7.4,P
10.2,139.1,7.9,P
8.2,137.8,7.9,N
11.4,139.1,8.6,P
8,138.7,7.5,P
11,139.3,9,N
10.1,139.3,7.9,P
10.7,139.5,9,P
11.5,139.4,8.9,P
8,138.5,8.7,N
11.4,139.2,8.4,N
9.6,139.4,7.4,P
12.7,139.2,8,N
10.2,139.4,8.6,N
8.8,138.6,8.5,P
10.8,139.2,8.2,P
9.6,138.5,7.4,P
11.6,139.8,8.3,N
9.9,139.6,9,N
10.3,139.7,9.1,P
10.6,140,8,P
11.2,139.4,9.1,P
10.2,139.6,7.8,P
